input,reference,greedy,beam
"a friend , enemy ?","as a friend , or an enemy ?","as friend , enemy ?","as friend , enemy ?"
""" it be for susan , my dear brother ,"" say they .",""" it is for susan , my dear brother ,"" said they .",""" it is for susan , my dear brother ,"" said they .",""" it is for susan , my dear brother ,"" said they ."
i shall soon have do .,i shall soon have done .,i shall soon have done .,i shall soon have done .
9 : 6 not a though word of god hath take none effect .,9 : 6 not as though the word of god hath taken none effect .,9 : 6 not as though the words of god hath taken none effect .,9 : 6 not as though the words of god hath taken none effect .
"remind me that have great sperm whale be know young orient world , he would have be deify by their child - magian thought .","and this reminds me that had the great sperm whale been known to the young orient world , he would have been deified by their child - magian thoughts .","reminds me that has a great sperm whale is known the young orient world , he would have been deified by their children - astonished thought .","reminds me that has a great sperm whale is known the young orient world , he would have been deified by their children - astonished thought ."
"my poor charles , who have fine , most generous spirit in world , would have divide his last farthing with him ; i know that his purse be open him ; i know that he often assist him .""","my poor charles , who had the finest , most generous spirit in the world , would have divided his last farthing with him ; and i know that his purse was open to him ; i know that he often assisted him .""","my poor charles , who has a fine , most generous spirit in the world , would have divided his last farthing with him ; and i know that his purse was opened him ; and i know that he often assisted him .""","my poor charles , who has a fine , most generous spirit in the world , would have divided his last farthing with him ; i know that his purse was opened him ; i know that he often assisted him ."""
", it be strooke","no , it is strooke","no , it is strooke","no , it is strooke"
"3 : 1 then solomon begin build house of lord at jerusalem in mount moriah , where lord appear unto david his father , in place that david have prepare in threshingfloor of ornan jebusite .","3 : 1 then solomon began to build the house of the lord at jerusalem in mount moriah , where the lord appeared unto david his father , in the place that david had prepared in the threshingfloor of ornan the jebusite .","3 : 1 then solomon began to build the house of the lord at jerusalem in mount , and to swear where the lord appeared unto david and his father , in the place that david had prepared in the threshingfloor of ornan and jebusite .","3 : 1 then solomon began to build the house of the lord at jerusalem in the mount conference , where the lord appeared unto david and his father , in the place that david had prepared in the threshingfloor of ornan and jebusite ."
-- colnett ' s voyage for the purpose of extending the spermaceti whale fishery .,-- colnett ' s voyage for the purpose of extending the spermaceti whale fishery .,-- colnett ' s voyages for the purpose of the pane of concealing and spermaceti whales fishery .,-- colnett ' s voyages for the purpose of concealing and the spermaceti and spermaceti whales fishery .
medical opinion of lady of so much anatomical precision could not have much weight .,the medical opinion of a lady of so much anatomical precision could not have much weight .,the medical opinion of the ladies of so much puzzled could not have much a weight .,the medical opinion of the ladies of so much a anatomical precision could not have much a weight .
men live envelop in whale - line .,all men live enveloped in whale - lines .,men lived the marriage in the whale - line .,men lived the marriage in the whale - line .
"if i enter into city , then behold them that be sick with famine !","and if i enter into the city , then behold them that are sick with famine !","if i enter into the city , then beheld them that is sick with famine !","if i enter into the city , then beheld them that is sick with famine !"
